1927 6132 26343 31541 31682 32631 32632 
3716 8497 14625 24645 32042 32632 32633 
2 1152 2430 2980 30192 32633 32634 
362 9015 11157 19277 32036 32634 32635 
722 2178 10266 11130 15471 32635 32636 
1082 1271 4576 9414 21856 32636 32637 
1442 1483 8435 10746 12683 32637 32638 
1802 6377 10690 16113 19628 32638 32639 
2162 4323 7611 13680 20582 32639 32640 
2522 4340 11299 22244 25267 32640 32641 
2882 4614 4652 12864 23561 32641 32642 
642 689 3242 10478 12470 32642 32643 
1262 3602 6771 8318 12017 32643 32644 
3962 4829 6379 17008 25992 32644 32645 
2629 4322 5710 8651 29445 32645 32646 
3356 4682 10891 12370 17972 32646 32647 
2327 5042 11275 11676 15784 32647 32648 
5402 7937 9596 28664 30514 32648 32649 
458 4797 5762 7546 11745 32649 32650 
808 6122 6318 8718 10380 32650 32651 
1074 6482 12429 14135 19218 32651 32652 
6658 6842 9752 12884 22466 32652 32653 
3297 3415 7202 7998 27232 32653 32654 
7562 8065 8290 25099 28068 32654 32655 
5199 7922 9480 10513 19529 32655 32656 
2757 8282 8746 10190 13161 32656 32657 
4891 5487 8642 14946 15890 32657 32658 
981 8039 9002 17443 29872 32658 32659 
1019 4711 9362 23304 28806 32659 32660 
5879 9722 12349 26158 27389 32660 32661 
203 3315 10082 12435 19808 32661 32662 
2725 9720 10442 12025 22667 32662 32663 
4133 6836 10200 10802 24873 32663 32664 
3365 3800 10468 11162 12176 32664 32665 
2910 8524 11186 11522 11558 32665 32666 
4063 9009 11882 15246 30361 32666 32667 
1985 2875 5609 12242 20301 32667 32668 
64 6986 11524 12602 15681 32668 32669 
9423 9824 11096 12963 26822 32669 32670 
3902 3913 7277 13323 14969 32670 32671 
1772 6109 9765 13683 18585 32671 32672 
821 2454 5856 14043 24491 32672 32673 
3286 8764 12207 14403 29605 32673 32674 
1291 4789 8867 10954 14763 32674 32675 
5117 7820 11647 15123 27385 32675 32676 
1677 10399 12338 15483 32189 32676 32677 
5791 6828 10866 15843 31634 32677 32678 
7582 8662 16203 20947 28450 32678 32679 
695 1663 1987 13322 16563 32679 32680 
2966 7003 7430 11713 16923 32680 32681 
5430 9644 12062 17283 28246 32681 32682 
3143 5978 16608 17643 23892 32682 32683 
335 6617 18003 22943 24352 32683 32684 
4877 8308 10979 18363 22744 32684 32685 
2388 4084 18723 21479 26558 32685 32686 
3070 10029 17882 19083 20221 32686 32687 
5293 8592 9090 19443 29362 32687 32688 
891 5624 10283 13929 19803 32688 32689 
4273 7169 11230 20163 26909 32689 32690 
57 3220 4135 20523 24203 32690 32691 
7114 11217 20883 25633 30908 32691 32692 
1236 3559 7033 16379 21243 32692 32693 
1768 6410 12759 18986 21603 32693 32694 
6840 8714 9855 21963 28367 32694 32695 
794 10686 18998 22323 30000 32695 32696 
2753 4875 12534 22683 24104 32696 32697 
6570 9031 11873 16440 23043 32697 32698 
1925 2285 5329 12822 23403 32698 32699 
7437 8222 17128 23763 31293 32699 32700 
1315 1477 16738 24123 28930 32700 32701 
2321 6154 9174 23190 24483 32701 32702 
5652 6036 12670 14717 24843 32702 32703 
4276 4395 25203 27912 31719 32703 32704 
5174 8131 10270 13046 25563 32704 32705 
2128 7694 9086 18427 25923 32705 32706 
1659 3678 11454 22127 26283 32706 32707 
2780 3799 13640 18321 26643 32707 32708 
7462 9391 17286 20068 27003 32708 32709 
5426 7475 25427 27251 27363 32709 32710 
6134 11248 20716 21176 27723 32710 32711 
5812 7325 9838 28083 31250 32711 32712 
5343 7873 21488 28443 32180 32712 32713 
3183 7055 9256 14395 28803 32713 32714 
672 2095 6785 8106 29163 32714 32715 
2818 7594 12218 25851 29523 32715 32716 
268 9558 18124 23423 29883 32716 32717 
260 3784 5199 12752 30243 32717 32718 
250 1977 10784 11947 30603 32718 32719 
